location_id,state,location_type,latitude,longitude,elevation_m,slope_angle_deg,soil_moisture_pct,rainfall_last_7d_mm,rainfall_last_30d_mm,vegetation_cover_pct,historical_landslide_count,nearby_population,true_risk,high_risk_alert
NER-1019,Tripura,Market area,24.5099,91.8049,278,22.2,1.9,63.3,38.7,42.7,1,6772,0.218,0
NER-1020,Manipur,Market area,24.191,93.7312,2106,20.3,83.6,58.1,69.3,64.2,0,4125,0.437,0
NER-1021,Assam,School zone,25.7123,91.6517,2190,8.8,41.3,61.4,98.1,47.2,1,5848,0.252,0
NER-1022,Sikkim,Village,26.9721,88.6129,1147,7.8,26.6,53.6,165.2,61.5,2,3180,0.232,0
NER-1023,Sikkim,Village,28.0062,88.422,733,30.4,86.4,12.8,119.8,74.0,2,5943,0.708,1
NER-1024,Manipur,Market area,25.0602,94.093,1889,10.9,78.4,49.5,79.8,20.6,2,4141,0.619,1
NER-1025,Assam,Highway segment,26.5431,91.0287,73,33.0,52.2,47.3,113.4,88.2,0,3248,0.374,0
NER-1026,Mizoram,School zone,24.1217,93.434,2025,21.9,52.6,100.2,153.1,44.9,2,533,0.607,1
NER-1027,Sikkim,Residential cluster,27.4957,88.2701,288,15.7,51.5,48.4,94.8,82.8,2,4594,0.321,0
NER-1028,Meghalaya,School zone,25.8458,92.2193,1450,18.3,58.7,68.5,217.0,37.3,1,2018,0.494,0
NER-1029,Tripura,Market area,24.0903,90.7151,109,32.0,85.4,73.8,80.4,66.9,2,5313,0.8,1
NER-1030,Mizoram,Highway segment,24.4876,93.4486,973,16.5,9.2,33.6,115.4,63.6,2,3719,0.203,0
NER-1031,Manipur,Highway segment,24.6994,94.0898,956,29.0,57.4,214.0,115.7,89.6,5,2619,0.819,1
NER-1032,Manipur,Residential cluster,24.0834,94.7218,209,40.6,6.0,58.1,394.5,45.5,1,3098,0.556,1
NER-1033,Sikkim,Market area,27.84,88.8284,1002,48.2,54.4,106.1,413.1,38.7,1,493,0.863,1
NER-1034,Nagaland,Market area,26.0877,93.6208,922,16.3,53.3,19.4,357.0,45.1,2,549,0.464,0
NER-1035,Assam,Highway segment,25.8322,91.3242,1113,40.5,21.3,43.9,93.6,24.8,1,2427,0.595,1
NER-1036,Assam,Highway segment,26.2937,91.077,616,21.7,72.0,130.3,399.1,57.7,0,4132,0.664,1
NER-1037,Sikkim,Highway segment,27.963,88.5496,1612,6.5,73.9,102.6,129.1,52.3,2,5288,0.451,0
NER-1038,Nagaland,Village,25.5817,93.4875,352,11.0,31.7,17.4,125.2,51.4,3,6241,0.285,0
NER-1039,Assam,Village,26.4358,92.237,1007,8.8,28.6,71.9,127.3,79.6,2,1814,0.132,0
NER-1040,Mizoram,Residential cluster,23.9373,92.3072,266,10.9,28.0,67.4,200.3,79.2,2,3954,0.336,0
NER-1041,Nagaland,Residential cluster,26.1267,93.5531,1293,17.3,71.7,20.7,156.0,42.7,0,960,0.518,0
NER-1042,Assam,Village,26.6636,91.8591,866,7.2,77.3,28.6,211.6,79.4,1,6234,0.454,0
NER-1043,Meghalaya,Village,25.233,91.9012,1603,36.3,91.1,157.3,47.1,50.8,1,5668,0.943,1
NER-1044,Assam,Village,26.3462,91.3437,1487,23.1,50.9,26.3,162.4,39.8,3,2819,0.512,0
NER-1045,Arunachal Pradesh,Highway segment,27.6551,93.494,1300,44.5,30.6,63.9,165.2,75.8,3,1275,0.548,0
NER-1046,Tripura,Market area,24.4677,91.8167,353,52.1,67.7,78.5,65.2,27.7,2,1072,0.936,1
NER-1047,Tripura,Highway segment,23.199,91.514,760,46.9,18.6,37.3,160.9,62.1,1,1055,0.407,0
NER-1048,Manipur,Village,24.5168,94.3465,887,48.9,21.1,20.4,119.9,62.7,2,3018,0.496,0
NER-1049,Tripura,Village,23.9082,91.2122,635,48.5,49.9,65.3,145.2,63.5,2,1447,0.657,1
NER-1050,Arunachal Pradesh,Village,27.7326,92.9116,1340,18.6,42.6,302.2,28.0,58.4,1,3044,0.631,1
NER-1051,Sikkim,Market area,27.4217,88.3347,725,22.0,95.8,82.4,123.1,68.1,2,1883,0.837,1
NER-1052,Mizoram,Village,22.9864,93.1256,1124,19.6,61.1,56.0,198.9,62.7,1,6736,0.492,0
NER-1053,Mizoram,Highway segment,23.8288,93.3506,1122,37.9,36.7,86.9,176.9,60.5,2,6288,0.602,1
NER-1054,Assam,Residential cluster,26.2972,91.4693,324,29.4,63.6,29.6,41.9,68.9,2,4517,0.523,0
NER-1055,Mizoram,Highway segment,24.5064,92.1051,1723,22.8,44.6,62.9,34.9,65.9,1,7490,0.291,0
NER-1056,Assam,Village,25.4242,92.1022,1206,10.0,74.5,34.7,171.5,73.1,3,3617,0.523,0
NER-1057,Arunachal Pradesh,Village,26.8934,93.3983,77,19.5,30.8,83.5,184.3,57.9,1,6712,0.365,0
NER-1058,Assam,Market area,26.7425,91.4537,2018,32.4,63.2,44.4,147.1,46.4,1,1485,0.632,1
NER-1059,Assam,Highway segment,26.7624,91.9604,578,35.4,36.4,80.2,353.6,79.4,1,5683,0.594,1
NER-1060,Tripura,Market area,23.5665,90.5753,1959,8.6,56.9,99.1,126.1,63.4,0,7244,0.393,0
NER-1061,Sikkim,Highway segment,26.9222,89.3595,1872,11.6,44.4,159.8,150.8,23.7,2,7158,0.649,1
NER-1062,Nagaland,Residential cluster,25.5184,93.5761,1015,25.8,75.6,30.4,77.4,66.7,0,3137,0.518,0
NER-1063,Manipur,Highway segment,24.4968,94.5793,344,24.7,39.2,91.1,99.1,62.0,4,5514,0.551,1
NER-1064,Manipur,Highway segment,24.284,94.3846,1804,26.2,73.6,40.6,42.7,82.3,1,3123,0.495,0
NER-1065,Manipur,Residential cluster,24.2358,94.6782,1917,15.4,89.0,41.4,240.1,75.2,1,309,0.569,1
NER-1066,Sikkim,Highway segment,27.3783,87.8791,2092,24.8,80.6,34.8,252.3,40.5,3,4907,0.63,1
NER-1067,Sikkim,Market area,28.0195,88.3832,1235,40.2,59.3,27.5,352.1,88.0,3,1688,0.732,1
NER-1068,Meghalaya,Market area,25.9403,91.9179,1772,41.4,30.5,104.8,134.3,29.9,3,6866,0.788,1
NER-1069,Arunachal Pradesh,School zone,26.4481,92.9897,1137,14.1,35.1,26.2,122.2,48.4,0,7487,0.219,0
NER-1070,Mizoram,Highway segment,23.1688,92.1779,2022,17.9,74.4,73.5,200.4,85.4,1,7164,0.61,1
NER-1071,Assam,Market area,25.4244,91.0052,1699,42.4,15.2,84.2,271.7,75.0,3,7546,0.522,0
NER-1072,Nagaland,Highway segment,26.3875,93.4661,2019,20.1,80.3,115.2,451.4,73.5,1,5564,0.806,1
NER-1073,Sikkim,Village,27.3434,87.9998,2088,45.0,50.5,60.4,160.8,37.5,1,3042,0.648,1
NER-1074,Sikkim,Market area,26.8737,89.0309,214,37.8,18.6,59.1,97.4,72.8,1,5717,0.366,0
NER-1075,Manipur,Village,25.521,93.8915,458,19.3,60.8,39.7,72.1,43.8,1,7478,0.506,0
NER-1076,Sikkim,Residential cluster,26.539,89.4087,679,23.4,89.1,18.3,37.3,60.5,4,3282,0.792,1
NER-1077,Assam,Highway segment,25.4164,91.5531,1579,25.0,61.0,109.7,51.8,38.5,1,6589,0.587,1
NER-1078,Nagaland,Residential cluster,25.7325,94.7468,1192,20.0,75.0,57.9,130.3,57.8,2,846,0.622,1
NER-1079,Manipur,Village,25.337,94.115,832,18.6,79.7,120.0,56.6,71.6,1,4973,0.472,0
NER-1080,Mizoram,Village,23.5678,93.2552,844,23.9,56.2,113.4,158.4,82.7,0,3096,0.353,0
NER-1081,Arunachal Pradesh,Highway segment,27.6905,94.215,1023,8.0,59.2,33.9,183.9,28.5,5,73,0.628,1
NER-1082,Mizoram,Highway segment,24.0782,92.0765,935,6.8,39.1,45.8,329.8,73.0,2,2760,0.279,0
NER-1083,Mizoram,School zone,23.4077,92.6975,398,13.6,44.3,82.8,128.7,50.1,3,7225,0.454,0
NER-1084,Mizoram,Highway segment,23.7381,93.2526,1458,5.7,66.6,111.6,282.8,39.7,1,1385,0.504,0
NER-1085,Arunachal Pradesh,Market area,26.6805,93.8833,1585,18.2,83.5,70.5,212.5,74.2,2,447,0.624,1
NER-1086,Mizoram,Market area,23.5287,93.1608,1139,13.6,47.4,27.1,51.8,73.0,2,2366,0.255,0
NER-1087,Mizoram,Village,23.2432,92.6826,661,25.9,32.6,108.7,118.2,78.7,1,6546,0.392,0
NER-1088,Manipur,Market area,24.1857,93.4792,651,13.2,46.7,52.6,272.5,53.9,0,4993,0.375,0
NER-1089,Mizoram,School zone,24.4263,92.4257,636,31.0,75.8,67.5,142.3,42.3,2,6768,0.651,1
NER-1090,Arunachal Pradesh,Residential cluster,27.7288,93.6589,1162,7.3,26.2,140.7,125.5,54.7,0,3128,0.347,0
NER-1091,Mizoram,Residential cluster,22.9925,93.1888,1170,14.5,54.5,54.5,270.0,46.2,0,1031,0.394,0
NER-1092,Tripura,Market area,23.1231,91.8031,1015,9.2,48.2,70.9,354.9,78.2,2,148,0.4,0
NER-1093,Arunachal Pradesh,Village,26.3141,93.8986,1610,55.1,52.3,71.9,241.3,43.5,2,6669,0.923,1
NER-1094,Nagaland,Highway segment,25.1351,93.8686,555,6.8,41.8,19.8,98.6,35.0,2,7762,0.255,0
NER-1095,Arunachal Pradesh,School zone,27.8244,93.598,1189,21.7,89.6,67.1,40.7,21.8,1,4400,0.725,1
NER-1096,Nagaland,Highway segment,25.9219,94.5052,1176,27.5,41.7,27.6,293.7,49.0,1,4231,0.348,0
NER-1097,Arunachal Pradesh,Highway segment,26.4759,94.1621,1458,3.4,23.9,11.6,124.1,33.0,2,4613,0.197,0
NER-1098,Sikkim,Highway segment,27.9923,88.0587,75,41.0,10.6,66.4,4.4,50.8,0,3548,0.408,0
NER-1099,Sikkim,Highway segment,27.404,88.2636,123,32.9,31.7,67.7,120.8,26.5,3,7939,0.655,1
NER-1100,Meghalaya,School zone,25.955,91.1252,1367,9.1,75.8,30.7,331.1,78.5,2,4587,0.605,1
NER-1101,Mizoram,Highway segment,23.7501,93.1885,844,13.9,33.5,88.6,177.8,71.7,1,2929,0.325,0
NER-1102,Meghalaya,Village,25.9456,91.2531,808,31.0,45.3,36.4,181.3,66.6,1,5892,0.413,0
NER-1103,Meghalaya,Residential cluster,26.1027,91.4605,625,10.6,48.1,46.4,55.6,97.7,5,4885,0.407,0
NER-1104,Nagaland,Village,26.1625,94.1154,827,23.9,49.7,98.8,145.3,56.6,3,1337,0.567,1
NER-1105,Sikkim,Village,26.7873,88.9845,1367,15.0,2.6,48.5,60.1,68.0,0,5998,0.012,0
NER-1106,Mizoram,Residential cluster,24.2227,93.0382,1346,19.0,79.9,54.2,112.4,74.4,0,4924,0.434,0
NER-1107,Mizoram,Village,24.4738,92.3298,1351,10.0,32.5,41.1,266.5,81.6,0,4882,0.017,0
NER-1108,Meghalaya,Residential cluster,25.1472,91.3156,631,19.8,41.1,81.8,187.5,66.6,0,5017,0.392,0
NER-1109,Sikkim,Village,27.393,88.4491,461,23.5,54.5,59.3,173.0,41.1,1,6265,0.575,1
NER-1110,Assam,Highway segment,25.9107,91.6665,1560,22.5,89.5,11.3,32.7,86.3,0,6553,0.337,0
NER-1111,Manipur,Highway segment,24.4593,93.1468,1087,27.8,44.5,105.4,108.5,74.6,1,7759,0.46,0
NER-1112,Nagaland,Residential cluster,25.6248,93.7614,1205,38.3,28.0,40.1,229.6,67.1,2,620,0.464,0
NER-1113,Mizoram,Residential cluster,23.6497,93.4062,1816,14.2,55.1,39.9,50.0,22.1,0,4625,0.323,0
NER-1114,Arunachal Pradesh,Highway segment,26.5864,93.84,1566,20.6,56.7,65.0,157.8,25.9,0,5716,0.471,0
NER-1115,Arunachal Pradesh,Residential cluster,27.3311,93.2701,308,38.8,54.4,52.2,136.0,62.2,0,4408,0.588,1
NER-1116,Manipur,Highway segment,24.7734,94.6914,142,13.1,36.6,69.4,202.0,65.2,1,176,0.369,0
NER-1117,Mizoram,Village,23.4779,93.0598,1616,11.0,58.1,52.1,52.2,65.2,0,6860,0.3,0
NER-1118,Tripura,Village,24.3844,91.0571,1420,21.5,91.5,58.1,99.2,81.9,1,1207,0.588,1
NER-1119,Tripura,Village,24.6239,91.4814,2196,17.5,80.1,78.1,97.1,78.2,1,5073,0.503,0
NER-1120,Manipur,Village,24.8216,94.2839,265,8.1,62.3,52.0,83.8,33.9,0,1035,0.37,0
NER-1121,Manipur,Village,24.6981,94.2797,1737,27.4,22.3,50.6,347.7,96.7,1,5605,0.432,0
NER-1122,Nagaland,Residential cluster,25.3097,94.8035,2101,23.5,46.1,15.8,278.4,69.4,2,3946,0.433,0
NER-1123,Manipur,Market area,24.8871,93.5266,2017,34.4,91.3,52.3,126.8,27.0,0,4146,0.793,1
NER-1124,Sikkim,Residential cluster,27.2295,89.2422,775,15.9,29.7,10.5,64.6,73.6,3,1026,0.257,0
NER-1125,Mizoram,Residential cluster,24.2213,92.6952,748,22.5,73.8,22.1,44.4,74.4,1,7384,0.353,0
NER-1126,Mizoram,Residential cluster,23.4927,92.522,2019,56.0,52.2,67.2,251.5,28.2,3,2688,1.0,1
NER-1127,Assam,Residential cluster,26.9099,91.1095,932,47.3,28.6,44.7,227.5,84.1,4,130,0.659,1
NER-1128,Manipur,Highway segment,25.4424,94.5122,1731,37.2,30.9,54.3,213.4,51.8,2,5633,0.573,1
NER-1129,Mizoram,Market area,23.289,92.479,1455,40.0,78.7,103.8,311.2,64.6,4,1938,0.99,1
NER-1130,Assam,Village,26.2513,92.2138,555,24.0,22.0,44.6,192.2,70.3,1,3092,0.256,0
NER-1131,Meghalaya,Village,26.2907,92.6669,91,13.4,67.6,69.0,131.7,70.6,1,608,0.36,0
NER-1132,Meghalaya,School zone,25.22,91.3878,863,48.2,42.7,40.4,369.2,23.2,1,1827,0.868,1
NER-1133,Tripura,School zone,23.8204,91.3721,357,16.0,63.7,16.3,265.5,69.7,3,7815,0.447,0
NER-1134,Mizoram,Market area,23.9807,92.0921,1364,56.1,23.7,82.2,189.7,74.9,2,5371,0.671,1
NER-1135,Sikkim,Highway segment,27.5642,89.2842,1068,20.7,72.9,26.2,293.8,64.7,0,5953,0.439,0
NER-1136,Sikkim,Highway segment,27.9943,89.32,1892,28.7,62.0,92.1,78.9,41.6,1,5758,0.668,1
NER-1137,Nagaland,Highway segment,26.3457,94.8572,405,35.5,13.3,23.4,132.3,41.3,4,1223,0.475,0
NER-1138,Meghalaya,School zone,24.8479,92.5456,2176,18.6,34.9,61.7,118.2,44.3,2,7706,0.557,1
NER-1139,Sikkim,Market area,26.9639,88.3231,761,33.4,84.6,51.2,169.6,45.9,1,6360,0.744,1
NER-1140,Mizoram,Residential cluster,23.6638,93.4484,106,53.5,29.0,60.9,204.7,59.1,1,4097,0.739,1
NER-1141,Nagaland,Market area,25.8381,93.8843,943,12.4,33.8,42.2,124.4,72.6,2,2241,0.192,0
NER-1142,Manipur,Market area,24.6187,94.5879,434,28.4,27.4,30.9,68.8,78.8,2,7803,0.299,0
NER-1143,Manipur,Village,25.3358,93.3601,1483,15.3,71.3,67.0,74.4,76.6,2,7059,0.371,0
NER-1144,Sikkim,Market area,26.9279,88.4051,116,33.4,33.5,2.2,103.3,88.6,2,3909,0.285,0
NER-1145,Nagaland,Village,25.2168,94.2216,1283,30.2,73.7,34.7,33.3,49.4,1,2685,0.647,1
NER-1146,Assam,Residential cluster,25.6978,91.8499,1038,16.6,54.4,58.4,86.2,79.2,2,1462,0.438,0
NER-1147,Tripura,Village,24.5376,91.8379,654,22.1,54.5,21.2,142.2,78.2,1,2831,0.268,0
NER-1148,Tripura,Village,23.1988,90.811,843,39.4,40.0,52.8,272.7,66.5,0,5257,0.538,0
NER-1149,Nagaland,Village,25.5304,94.3538,153,25.6,50.3,94.3,213.8,78.1,0,7244,0.364,0
NER-1150,Tripura,Village,23.6585,90.8826,925,26.1,69.7,11.6,67.3,57.0,1,7602,0.54,0
NER-1151,Nagaland,Market area,25.4215,93.6464,1896,28.3,78.7,68.3,227.7,58.7,1,5522,0.693,1
NER-1152,Manipur,School zone,25.399,94.2556,1948,10.7,43.9,13.2,281.8,58.9,2,3403,0.273,0
NER-1153,Mizoram,School zone,23.5876,93.0407,868,17.1,30.7,39.0,438.6,51.4,1,3097,0.353,0
NER-1154,Sikkim,Highway segment,27.3616,88.652,1858,17.4,18.0,30.1,128.2,92.0,3,863,0.287,0
NER-1155,Arunachal Pradesh,Residential cluster,26.8878,93.6011,2097,8.3,73.3,58.0,55.7,37.0,0,2732,0.295,0
NER-1156,Meghalaya,Highway segment,26.3468,92.3351,1896,22.6,45.9,67.1,331.2,96.6,1,2978,0.372,0
NER-1157,Sikkim,School zone,27.8543,88.009,906,50.6,49.5,33.7,220.4,36.6,0,5369,0.648,1
NER-1158,Nagaland,Highway segment,25.6768,93.907,194,5.1,63.3,90.3,77.7,71.3,2,3758,0.317,0
NER-1159,Manipur,Residential cluster,24.1623,93.7724,1970,16.5,45.3,7.0,97.5,89.8,1,6332,0.093,0
NER-1160,Manipur,School zone,24.1387,93.5144,624,9.6,87.7,35.9,174.0,82.0,2,7455,0.386,0
NER-1161,Arunachal Pradesh,Village,27.578,93.9179,1323,13.7,61.1,26.5,296.6,76.7,0,4886,0.278,0
NER-1162,Arunachal Pradesh,School zone,27.4177,92.947,1122,17.1,67.9,56.6,64.0,26.5,0,7350,0.553,1
NER-1163,Nagaland,Highway segment,25.1324,93.3545,2199,32.8,17.8,49.5,122.2,48.5,3,214,0.439,0
NER-1164,Meghalaya,Village,24.926,91.242,92,17.0,52.6,134.1,173.1,75.0,1,7682,0.512,0
NER-1165,Assam,School zone,26.8762,92.3603,1645,17.2,44.6,90.7,96.3,67.3,1,2543,0.473,0
NER-1166,Manipur,Village,24.3468,93.5461,1805,30.2,60.2,12.9,216.8,89.6,1,5182,0.53,0
NER-1167,Tripura,Village,24.5774,91.392,401,18.2,12.0,63.9,193.5,21.0,0,3692,0.42,0
NER-1168,Tripura,Highway segment,23.6296,91.2265,1237,20.1,67.6,38.7,138.0,55.2,1,3579,0.423,0
NER-1169,Meghalaya,Residential cluster,25.2055,92.0137,2120,7.8,87.7,77.9,61.0,58.6,1,5828,0.613,1
NER-1170,Manipur,School zone,25.1804,93.9647,1912,24.1,51.3,29.1,212.6,52.8,2,7582,0.464,0
NER-1171,Tripura,School zone,24.3531,90.6611,2030,11.7,75.9,18.8,165.2,35.8,2,446,0.439,0
NER-1172,Assam,Highway segment,26.3058,92.5134,866,26.1,17.6,34.4,301.1,69.5,0,1706,0.233,0
NER-1173,Meghalaya,Market area,25.0085,91.8721,655,18.7,29.6,86.4,64.2,62.5,2,1450,0.385,0
NER-1174,Mizoram,School zone,23.9382,92.46,2096,5.6,64.0,30.6,141.7,58.1,2,1722,0.377,0
NER-1175,Meghalaya,Highway segment,26.3134,91.8567,1032,13.4,72.0,64.6,130.0,54.4,1,715,0.443,0
NER-1176,Tripura,Market area,23.8059,91.9243,2024,43.5,15.8,74.1,209.2,33.2,2,2928,0.572,1
NER-1177,Manipur,Village,24.0455,94.5302,1775,47.3,27.6,9.5,443.8,77.6,2,872,0.599,1
NER-1178,Arunachal Pradesh,Market area,26.5065,93.4267,252,19.4,61.5,45.8,277.6,64.9,1,538,0.478,0
NER-1179,Nagaland,School zone,25.6515,94.0825,1020,50.6,77.3,63.0,169.9,24.0,1,507,0.884,1
NER-1180,Tripura,Village,23.1031,90.9874,643,11.1,18.8,128.4,106.1,46.5,0,7493,0.162,0
NER-1181,Meghalaya,Market area,25.3409,92.6099,1046,9.5,33.0,43.4,154.1,43.2,1,6198,0.184,0
NER-1182,Arunachal Pradesh,Highway segment,27.7672,93.755,879,27.8,90.5,23.8,166.9,67.8,0,6373,0.522,0
NER-1183,Nagaland,Market area,26.3634,94.7019,1004,29.8,48.4,21.3,177.5,41.9,1,7933,0.473,0
NER-1184,Sikkim,Highway segment,27.1312,87.9971,1867,21.2,58.9,99.3,366.0,84.3,0,6983,0.451,0
NER-1185,Arunachal Pradesh,Village,27.2714,93.3368,1471,17.2,41.9,58.9,283.0,64.1,1,2596,0.351,0
NER-1186,Tripura,Village,23.0556,92.0499,315,15.3,61.3,32.3,103.5,28.4,2,1715,0.56,1
NER-1187,Manipur,Market area,25.5708,93.9989,251,7.2,62.0,60.0,189.1,62.4,1,4731,0.375,0
NER-1188,Arunachal Pradesh,Residential cluster,27.2891,93.8902,1151,34.2,15.0,47.4,346.3,68.5,2,1612,0.486,0
NER-1189,Assam,School zone,26.8225,91.678,1296,37.3,68.1,78.2,331.5,78.7,1,7489,0.796,1
NER-1190,Manipur,Residential cluster,24.9526,93.5025,707,17.3,75.0,133.8,301.9,53.8,0,5465,0.604,1
NER-1191,Tripura,School zone,23.4278,91.3154,1340,9.1,62.2,119.8,206.1,96.9,1,613,0.435,0
NER-1192,Sikkim,Village,26.8967,87.8584,1863,21.9,79.9,195.3,373.9,76.1,1,3950,0.79,1
NER-1193,Nagaland,School zone,25.4595,94.5199,1059,6.4,58.2,20.2,179.0,65.6,4,5464,0.284,0
NER-1194,Arunachal Pradesh,Village,26.7433,94.2003,178,9.2,81.8,52.5,276.4,44.0,1,6965,0.52,0
NER-1195,Sikkim,Residential cluster,27.654,88.8553,1877,42.9,43.7,89.3,294.9,48.2,0,4362,0.676,1
NER-1196,Nagaland,Residential cluster,26.298,93.4381,1420,30.7,31.2,28.5,115.0,39.2,2,3456,0.337,0
NER-1197,Manipur,Village,24.306,94.5948,1179,17.4,52.7,120.6,244.3,71.0,1,6652,0.49,0
NER-1198,Mizoram,School zone,24.3813,92.0452,407,11.7,45.6,102.2,101.8,59.9,1,4639,0.385,0
NER-1199,Manipur,Highway segment,25.2588,93.1647,2052,19.1,71.1,117.8,69.3,75.2,1,2215,0.468,0
NER-1200,Arunachal Pradesh,School zone,26.5164,92.9956,1476,18.5,64.9,64.3,57.7,84.4,1,6457,0.4,0
NER-1201,Mizoram,Market area,23.4004,92.5412,2117,17.6,85.0,42.3,25.2,92.6,1,4052,0.39,0
NER-1202,Tripura,Village,24.4974,91.1782,214,8.9,25.4,47.3,315.6,71.6,0,3573,0.192,0
NER-1203,Assam,Highway segment,25.5382,91.3658,1681,18.9,12.8,14.6,155.1,79.8,2,4392,0.064,0
NER-1204,Arunachal Pradesh,Village,26.3102,92.8649,361,17.2,29.2,35.7,461.9,87.5,0,3468,0.296,0
NER-1205,Nagaland,Residential cluster,25.5597,94.1395,1601,17.8,87.9,56.9,152.7,77.3,3,300,0.593,1
NER-1206,Nagaland,Residential cluster,25.2699,93.9278,1428,14.4,14.7,114.5,223.2,55.2,0,4505,0.257,0
NER-1207,Tripura,Village,23.2054,91.5341,1754,4.1,83.9,27.9,112.2,48.2,1,4817,0.422,0
NER-1208,Mizoram,Residential cluster,23.5582,92.1784,90,31.0,71.0,60.5,83.8,66.4,2,7484,0.687,1
NER-1209,Manipur,Village,24.8158,93.4734,1695,25.9,55.2,55.4,219.0,74.8,1,1121,0.512,0
NER-1210,Assam,School zone,25.8074,91.1287,1679,11.4,46.5,19.8,136.6,68.6,1,3938,0.227,0
NER-1211,Mizoram,Market area,24.1792,92.3669,2006,64.6,65.3,40.0,251.7,53.1,0,3517,0.944,1
NER-1212,Sikkim,Highway segment,28.0591,88.4587,1936,6.8,74.2,52.4,78.0,85.1,0,1271,0.238,0
NER-1213,Sikkim,School zone,26.7783,88.9383,1744,9.3,48.7,32.8,157.8,59.2,1,4622,0.372,0
NER-1214,Arunachal Pradesh,Residential cluster,27.4737,94.2301,607,15.1,41.5,84.9,142.2,67.1,1,3961,0.243,0
NER-1215,Manipur,Market area,24.2304,94.4038,1527,31.9,23.7,74.1,145.2,45.0,3,3631,0.648,1
NER-1216,Manipur,School zone,25.3956,93.6272,2097,5.1,14.9,55.4,251.8,76.5,2,2656,0.231,0
NER-1217,Nagaland,Village,25.5972,94.3114,2160,39.8,22.9,33.3,216.6,68.5,2,1543,0.484,0
NER-1218,Manipur,Highway segment,24.4128,94.5342,1526,56.2,58.1,30.0,188.8,82.7,1,5583,0.75,1
NER-1219,Sikkim,Village,27.6487,89.1807,847,34.0,32.3,53.2,113.2,85.1,1,2674,0.423,0
NER-1220,Nagaland,Village,25.5899,94.1504,1842,70.0,18.7,99.4,243.9,86.1,4,5145,0.928,1
NER-1221,Meghalaya,School zone,25.0808,91.5824,2080,24.3,79.0,87.0,171.8,79.6,1,1424,0.621,1
NER-1222,Arunachal Pradesh,Market area,27.4672,94.3544,555,20.5,45.1,45.1,34.5,72.3,0,193,0.321,0
NER-1223,Tripura,Highway segment,23.2834,90.561,131,9.3,80.7,140.1,200.0,47.9,1,6221,0.585,1
NER-1224,Sikkim,School zone,26.6379,88.5068,1075,24.9,71.5,35.0,55.8,68.2,0,5580,0.462,0
NER-1225,Mizoram,Village,24.1983,92.2798,1829,45.3,40.9,23.2,111.6,27.9,2,3166,0.684,1
NER-1226,Mizoram,Highway segment,23.6934,92.7446,1582,28.3,34.8,34.1,145.8,59.6,0,4055,0.393,0
NER-1227,Meghalaya,Residential cluster,26.1103,91.3425,1350,24.7,77.0,57.0,447.9,59.3,2,7863,0.748,1
